year,max,min
0,5363,5989
1,10294,11242
2,14946,16392
3,24017,24265
4,28976,29625
5,35388,34571
6,39123,39189
7,43652,44405
8,48474,49373
9,53326,55074
10,59559,60744
11,64836,65798
12,70891,72140
13,77145,77842
14,80910,81706
15,85557,88396
16,89634,92607
17,93444,97002
18,99212,102178
19,104143,109445
20,109820,116666
21,114325,120488
22,118349,124280
23,122426,128961
24,127431,133739
25,132040,138196
26,136709,144936
27,141158,150350
28,149598,157086
29,154691,162245
30,161192,167230
31,166880,172531
32,174069,178561
33,181580,184953
34,185086,190461
35,189703,194258
36,193950,197974
37,198453,202203
38,202957,207279
39,207192,212049
40,211167,216028
41,217389,221123
42,221685,224126
43,223995,226290
44,225172,228513
45,226583,229776
46,227794,230764
47,228731,231796
48,230314,232768
49,231515,233666
