year,max,min
0,5363,5989
1,4931,5253
2,4652,5150
3,9071,7873
4,4959,5360
5,6412,4946
6,3735,4618
7,4529,5216
8,4822,4968
9,4852,5701
10,6233,5670
11,5277,5054
12,6055,6342
13,6254,5702
14,3765,3864
15,4647,6690
16,4077,4211
17,3810,4395
18,5768,5176
19,4931,7267
20,5677,7221
21,4505,3822
22,4024,3792
23,4077,4681
24,5005,4778
25,4609,4457
26,4669,6740
27,4449,5414
28,8440,6736
29,5093,5159
30,6501,4985
31,5688,5301
32,7189,6030
33,7511,6392
34,3506,5508
35,4617,3797
36,4247,3716
37,4503,4229
38,4504,5076
39,4235,4770
40,3975,3979
41,6222,5095
42,4296,3003
43,2310,2164
44,1177,2223
45,1411,1263
46,1211,988
47,937,1032
48,1583,972
49,1201,898
